Response ID,BATMAN,SUPERMAN,CAPTAIN AMERICA,WONDER WOMAN,CAPTAIN MARVEL,CATWOMAN,STORM,GREEN LANTERN,BLACK PANTHER,HAWK GIRL,SHE-HULK,IRON MAN
R_3hiSqUWyxu4eXLW,,,,,,,,,,,,
R_25XX8USe1uz7HZw,,,,,,,,,,1,,
R_WePqfFN0DmqAj2F,,,1,,,,,,,,,
R_7apJLnf1MZXtudH,,,,,,,,,,,,
R_6sTPFf2e3lCTylb,,,,,,,,,,1,,
R_1F3ChDQoMrZ83na,,2,,,,,,,,,1,
R_3m2ix6uneNaZz3Q,1,,,,,,,,,,,
R_25HMFfzWWstbVN1,,,,,1,,,,,,,
R_tS8YccOk9DWKBdD,,,3,,2,,,,,,1,
R_3M4MBWLiCQSNzaN,4,8,6,1,10,3,9,12,2,7,11,5
R_1nSZ4HyGFlonbm1,8,9,7,4,1,6,5,12,10,2,3,11
R_110WttvuxbE62Qx,4,9,3,7,5,10,6,8,1,11,12,2
R_1PelmQ2fIURNVYI,2,10,4,8,5,7,6,9,3,12,11,1
R_2xKtt7ghmtqUQAg,7,5,1,2,8,9,12,6,4,10,11,3
R_3nvgAYIIdu9RT8o,2,5,6,7,12,9,4,8,3,10,11,1
R_2Bt9q9GB1zORuqI,6,2,4,7,10,11,8,1,3,12,9,5
R_2B2p1dj97lBGPZq,5,10,8,7,1,4,3,9,12,2,6,11
R_1i3br4ufjwQh4oh,3,8,2,7,6,,5,,4,,,1
R_3IX2ydY7ixrVuZ4,2,8,3,1,6,11,10,5,4,9,12,7
R_1LS5EP4eFr1gtwj,6,1,3,2,12,10,5,4,8,11,9,7
R_1Kvf1TZBFcSH698,12,1,11,2,4,9,5,8,7,3,10,6
R_2qxuuhC9KFEUE1N,2,9,3,6,4,8,11,10,5,12,7,1
R_2PoGgEswNcl7y1h,1,3,4,2,7,6,,,8,,,5
R_1JXwhNBNfdYG7WZ,12,2,7,3,1,5,8,9,6,4,11,10
R_XSWiXNmICgE2vBf,5,3,2,1,8,10,12,7,4,9,11,6
R_31QOwUuRUxE7eNa,1,3,4,5,12,7,9,11,6,8,10,2
R_0USdOaYYfDg772N,8,12,6,7,11,2,3,5,10,4,1,9
R_sp53cVFG9KI4q3L,3,5,2,6,9,7,10,12,4,8,11,1
R_2s15Y8hEga4GpW2,8,6,7,1,3,5,9,10,2,11,,4
R_1pmlMRu8huHmdG0,4,7,2,3,5,8,6,11,9,12,10,1
R_1P0s8v1O865Z5NS,3,5,7,8,12,9,10,11,4,2,1,6
R_50IL3rHu9jwGToR,2,3,4,8,11,5,7,10,6,9,12,1
R_29fUt2QaaZt9BXL,12,7,11,9,5,4,3,6,8,2,1,10
R_30k4J51gmovwmVO,7,1,3,9,6,4,11,8,5,12,10,2
R_USiZJmQmkksX5Rv,10,6,4,2,3,9,5,,8,7,,1
R_OcLqzwQLpW4CAud,12,8,11,6,1,7,10,3,2,4,5,9
R_24ksOahr1yBTsGs,4,2,5,6,,,8,,3,,7,1
